,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,OUTAGE.DURATION,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,CUSTOMERS.AFFECTED
0,2011,7.0,Minnesota,MN,MRO,East North Central,-0.3,normal,2011-07-01,17:00:00,2011-07-03,20:00:00,severe weather,3060.0,11.6,9.18,6.81,9.28,2332915.0,2114774.0,2113291.0,6562520.0,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,70000.0
1,2014,5.0,Minnesota,MN,MRO,East North Central,-0.1,normal,2014-05-11,18:38:00,2014-05-11,18:39:00,intentional attack,1.0,12.12,9.71,6.49,9.28,1586986.0,1807756.0,1887927.0,5284231.0,30.0324872247258,34.2103893641289,35.7275637647181,2345860,284978,9898,2640737,88.83353397176622,10.791608554733017,0.3748196052844338,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,
2,2010,10.0,Minnesota,MN,MRO,East North Central,-1.5,cold,2010-10-26,20:00:00,2010-10-28,22:00:00,severe weather,3000.0,10.87,8.19,6.07,8.15,1467293.0,1801683.0,1951295.0,5222116.0,28.0976715185951,34.5010145312743,37.365983444259,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,70000.0
3,2012,6.0,Minnesota,MN,MRO,East North Central,-0.1,normal,2012-06-19,04:30:00,2012-06-20,23:00:00,severe weather,2550.0,11.79,9.25,6.71,9.19,1851519.0,1941174.0,1993026.0,5787064.0,31.9940992530928,33.5433304349148,34.4393288202792,2317336,278466,11010,2606813,88.89536763856863,10.682239193988982,0.4223548064245498,51598,48156,1.07147603621563,0.6,5364,277627,1.93208873776686,2.2,5380443,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,68200.0
4,2015,7.0,Minnesota,MN,MRO,East North Central,1.2,warm,2015-07-18,02:00:00,2015-07-19,07:00:00,severe weather,1740.0,13.07,10.16,7.74,10.43,2028875.0,2161612.0,1777937.0,5970339.0,33.982576198772,36.2058502875632,29.7794982830958,2374674,289044,9812,2673531,88.82163700364798,10.811320310106746,0.3670052825271149,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,250000.0
5,2010,11.0,Minnesota,MN,MRO,East North Central,-1.4,cold,2010-11-13,15:00:00,2010-11-14,22:00:00,severe weather,1860.0,10.63,8.34,6.15,8.28,1676347.0,1786144.0,1909874.0,5374150.0,31.1927839751403,33.2358419470986,35.5381595229013,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,60000.0
6,2010,7.0,Minnesota,MN,MRO,East North Central,-0.9,cold,2010-07-17,20:30:00,2010-07-19,22:00:00,severe weather,2970.0,11.41,9.11,6.71,9.12,2187537.0,2100828.0,2084709.0,6374935.0,34.3146557572744,32.9545007125563,32.701651075658,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,63000.0
7,2005,6.0,Minnesota,MN,MRO,East North Central,0.2,normal,2005-06-08,04:00:00,2005-06-10,22:00:00,severe weather,3960.0,9.1,7.22,5.69,7.36,1883344.0,1935444.0,1786652.0,5607498.0,33.5861733700128,34.5152864967584,31.861839273059,2211000,255645,8266,2474912,89.33650974256862,10.329458178715042,0.33399167323929096,52445,48090,1.09055936785194,2.0,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,300000.0
8,2015,3.0,Minnesota,MN,MRO,East North Central,0.6,warm,2015-03-16,07:31:00,2015-03-16,10:06:00,intentional attack,155.0,11.53,8.89,6.61,9.03,1844298.0,1956866.0,1795865.0,5599486.0,32.9369159955039,34.9472433719809,32.0719616050473,2374674,289044,9812,2673531,88.82163700364798,10.811320310106746,0.3670052825271149,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,5941.0
9,2013,6.0,Minnesota,MN,MRO,East North Central,-0.2,normal,2013-06-21,17:39:00,2013-06-24,06:00:00,severe weather,3621.0,12.71,10.31,7.29,10.0,1688619.0,1895099.0,1905375.0,5490631.0,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.84298355835801,10.722894552693147,0.4340837545594429,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,400000.0
